Gene	cmp0_2365	cmp0_2430	cmp0_2682	cmp0_2687	cmp0_2767	cmp0_2816	cmp0_2822	cmp0_3164	cmp0_3242	cmp0_3439	cmp0_3476	cmp0_3482	cmp0_3507	cmp0_3629	cmp0_3646	cmp0_3724	cmp0_3742	cmp0_3791	cmp0_3816	cmp0_3920	cmp0_4028	cmp0_4166	cmp0_4198	cmp0_4339	cmp0_4340	cmp0_4388	cmp0_4409	cmp0_4463	cmp0_4479	cmp0_4744	cmp0_4751	cmp1_4780	cmp1_4789	cmp1_4796	cmp1_4810	cmp1_4815	cmp1_4840	cmp1_4867	cmp1_4870	cmp1_4946	cmp1_4996	cmp1_5010	cmp1_5027	cmp1_5054	cmp1_5061	cmp1_5099	cmp1_5118	cmp1_5136	cmp1_5155	cmp1_5160	cmp1_5213	cmp1_5242	cmp1_5264	cmp1_5319	cmp1_5325	cmp1_5331	cmp1_5334	cmp1_5361	cmp2_5430	cmp2_5485	cmp2_5523	cmp2_5542	cmp2_5687	cmp2_5709	cmp2_5796	cmp2_5872	cmp2_5874	cmp2_5950	cmp2_6074	cmp2_6106	cmp2_6123	cmp2_6251	cmp2_6333	cmp2_6405	cmp2_6531	cmp2_6603	cmp2_6628	cmp2_6701	gmp_6983	gmp_7493	gmp_7710	gmp_7798	hsc_1004	hsc_1015	hsc_1123	hsc_1200	hsc_1202	hsc_1270	hsc_131	hsc_1338	hsc_1339	hsc_1367	hsc_1413	hsc_1429	hsc_1534	hsc_1535	hsc_1579	hsc_1598	hsc_1601	hsc_1610	hsc_1617	hsc_1619	hsc_1691	hsc_1702	hsc_1818	hsc_1907	hsc_1914	hsc_1985	hsc_2007	hsc_2027	hsc_2031	hsc_2066	hsc_2095	hsc_2167	hsc_2178	hsc_2203	hsc_2205	hsc_2211	hsc_2222	hsc_224	hsc_257	hsc_268	hsc_316	hsc_336	hsc_353	hsc_354	hsc_383	hsc_422	hsc_46	hsc_506	hsc_54	hsc_555	hsc_589	hsc_618	hsc_668	hsc_716	hsc_75	hsc_763	hsc_778	hsc_809	hsc_848	hsc_92	hsc_939
ILF2_cluster3	0.803444	0.706347	0	0.857019	0.856935	1.019387	1.155543	0.819067	0.6913	1.821368	1.159478	1.304488	0.673431	0	0.816364	0.815492	1.221638	1.43589	0.852761	0.76121	1.35571	0.749238	0.824631	0.766331	1.258221	0.773095	0	0.772355	0	0	0	2.1044	0.672819	0	1.412317	1.650763	0	0.822987	1.229427	1.348113	0	2.085387	1.4956	2.349889	0.720764	0.85119	2.024344	0.699661	0	1.299815	1.110117	1.614596	1.205753	0	0.79884	1.157195	1.757421	1.469333	2.015716	1.183431	1.815448	1.184428	1.734382	1.557427	1.485567	1.800858	1.766782	2.68858	1.67184	1.477745	1.789777	2.111734	1.807977	1.509271	1.485493	0.821575	1.965691	1.123993	1.302812	1.457501	0.785878	1.128543	1.548467	1.200979	1.44737	0	1.146678	0.96805	1.425875	0.781951	0.812753	0	0	0	1.059901	1.464135	0.825006	0	1.09639	0.854757	0.778461	1.050014	0.8471	1.222125	0.811107	0	1.186356	0	0	1.667237	1.685494	0.789799	0.807213	1.657643	1.331721	1.214035	0.816291	1.162549	1.218848	1.356042	0.847831	0.766571	1.349974	1.429084	1.458434	0.78947	0	1.052502	0	1.855602	0	0.824406	0	0	1.44737	0	0.983696	1.348662	0.853674	0.862969	1.399139	0	0.989277
ATP1B1_cluster3	0	0	0	0	2.479853	1.474981	0	0	0	0	1.677689	0	0	0	0	0	0	0	0	0	0	0	0	0	1.486482	1.581961	1.61925	0	2.802047	0	0	0	1.947049	0	0	0	0	0	0	2.252394	0	0	1.766924	0	0	2.46323	0	0	0	0	0	0	0	2.426846	0	0	0	0	0	0	0	0	0	1.593459	0	0	0	1.739747	0	0	0	0	0	0	0	0	0	0	0	0	1.60812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.446236	0	0	0	0	0	0	0	0	0	1.706285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.734895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59333	0	0	0	0	0
RGS2_cluster3	0	0	0	1.220991	0	0	0	0	0	0	0	1.073005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.958564	0	1.006062	0	0	0	1.011267	0	0	0	1.230203	0	1.026869	0	1.766131	0	0	2.070427	0	1.028732	0	1.689669	0	0	0	0	1.658026	0	0	0	1.105052	1.109432	0	0	0	0	1.506423	2.431035	0	1.137137	0	0	0	0	1.7712	0	0	0	0	0	0.986597	1.39705	1.7858	0	0	0	0	1.114042	0	1.99977	0	2.102884	1.067759	0	0	1.029951	0	2.109239	0	2.365314	0	0	0	0	0.975837	2.667844	2.343956	0.897782	0	1.591308	0	1.446205	2.190813	0	2.600475	0	0	0	1.479375	0	1.570373	0	0	0	0	1.499493	0	0	0	0	0	0	0	2.917286	0.990988	0	2.106568	0	1.409514	0	1.409422
RBBP5_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.777025	0	0	0	0	0	0	0	0	0	0	0	0	0	2.352828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.068214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.027977	0	0	0	0	0	0	0	0	0	0	2.546543	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD34_cluster3	0	0	0	0	0	1.434036	0	0	0	0	0	1.498362	0	0	1.148434	0	1.71856	0	1.199637	1.514404	1.907165	0	0	1.078049	1.021925	1.087566	1.113198	1.086522	1.112178	1.071508	0	1.118928	0	0	0	0	0	0	1.412147	1.094934	1.692271	1.19766	0	0	1.013948	1.197426	0	0	1.919622	0	0	0	1.199404	0	1.123784	1.627904	0	0	0	0	0	1.178189	0	1.095468	0	1.791377	0	1.196039	1.051798	0	0	0	0	1.501323	0	0	0.874454	0	0	0	1.105545	0	0.97418	0	1.018057	1.173908	1.140636	0	0	1.100023	0	1.140035	1.013879	1.19882	1.491033	1.681734	0	1.016986	0	0	0	1.044486	0	0	1.141039	0	0	0	0	0.886483	1.060387	1.111063	0	1.648915	1.081619	0	0	0	0	0	0	1.078388	1.096444	0	0	0	0	1.046957	1.18566	0	0	1.159746	1.159327	1.207998	1.175547	1.175989	1.694839	1.5491	1.698358	0	0	1.544351	0
PPP2R5A_cluster3	0	0	0	0	0	0	0	2.575183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.703687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.731213	0	0	0	1.890151	0	0	0	0	0	0	0	0	0	0	0	0	0	1.448544	0	0	0	1.855177	0	0	0	0	0	0	0	0	0	0	0	0	0	1.900274	0	0	0	0	0	0	0	0	1.828817	0	0	0	0	0	0	0	0	0	0	0	1.332809	0	0	0	0	0	0	0	0	0	1.846093	0	0	0	0	0	0	1.731075	0	0	0	0	0
TARBP1_cluster3	0	0	1.555731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61925	1.665002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.535988	0	0	0	0	0	0	0	2.517395	0	0	0	1.656481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.550203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.818241	0	0	0	0	0	0	0	0	1.749869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.763638	0	0	0	2.498067	0	0	0	0	0	0	0	0	0	0	0	0
COX20_cluster3	0	0	0	0	0	0	0.933504	1.323367	0	0	0	1.216857	1.538749	0	0	0	0	0	0	0	0	0	1.884235	1.23816	0	0	0	1.24789	0	0	0	1.285107	0	0	0	1.088853	1.294222	0	0	0	0	0	0	0	0	0	1.635365	1.130442	0	0	0	1.166645	0	1.354954	0	0	0	0	1.880308	0	0	1.353174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26974	2.353982	1.118865	1.120299	0	0	0	0	0	1.263396	0	0	1.164457	0	0	0	0	0	1.252593	1.381029	0	1.199612	0	0	0	0	1.565056	0	0	0	0	0	0	0.946905	1.24226	1.961515	1.318878	0	1.392498	1.264947	0	1.238548	0	0	0	0	0	0	0	0	0	0	0	0	0	1.910099	0	0	0	0	0	0	1.130221
PTRHD1_cluster3	0	0	0.87991	1.031106	0	0	1.204006	0.985444	1.176236	0.894611	0.986417	0.906133	0	0	0	0.981143	0	0	1.025982	0.915834	0	1.274814	1.403093	0.921995	0	1.315409	0	0	0	0.916402	0.997776	1.35334	0	0	1.201516	0	0	0	0	0.936437	0	0	0	0	0	0	0	1.190462	1.340481	1.563848	0.944423	0.868742	0	0	1.359213	0	0	0	1.400171	0	0	0	0.933194	0	0	0.884538	0.950627	1.022903	0.899543	0	0	0	1.375736	0	0	0	0	0	0	1.518631	0	0.783918	0	0.834231	0	1.419838	0	0	0.857756	0	0.977847	0.97501	0	0	1.275198	0	0.992589	0	0	1.028382	0	0	0	0	0	0	1.165418	0	0.989712	1.516318	0	0	0.971182	1.22129	0	0	0	0	0	0	0.721285	0.922284	0.937729	0	1.01307	0	0	0.895405	0	0	0	0.991867	0	0	1.005381	0	0	0	1.778955	1.038263	0	1.320799	0
RAB10_cluster3	0	0	1.241696	0	0	0	0	0	1.173699	0	1.391995	0	0	0	0	0	0	0	0	0	0	1.272065	1.400068	0	0	0	0	0	1.342274	0	0	0	0	0	0	1.14419	0	1.976047	0	0	1.444181	1.445441	0	0	0	0	1.718476	0	0	0	0	0	1.447546	0	0	0	1.334384	1.247325	0	2.009239	2.387528	1.421946	0	0	0	1.765259	0	0	0	0	1.358948	1.916434	0	0	0	0	1.492518	0	0	0	0	0	1.175725	1.177234	1.228678	0	1.376623	1.162175	0	0	1.379899	0	1.223638	0	0	0	0	0	1.316252	0	0	0	0	0	0	0	0	0	0	0	0	0	1.938174	0.995028	0	1.457491	0	0	0	0	0	1.301491	0	0	0	1.340369	0	1.263562	0	0	0	0	0	0	1.418756	1.419285	1.180961	0	0	0	0	0	0
ZNF512_cluster3	1.750583	0	0	0	1.867129	1.570544	0	0	0	0	1.786385	0	0	0	0	1.776834	0	0	0	0	0	1.632477	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46837	0	0	0	0	0	0	1.881401	0	0	2.622821	0	0	0	0	0	0	0	0	0	0	0	0	0	1.823283	1.768991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.354385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.497114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.758795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.860024	1.880277	1.524257	0	0
FOSL2_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.692492	0	0	0	0	0	0	0	0	1.927768	0	0	1.866288	0	0	0	0	0	0	0	0	0	0	0	0	0	1.828877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.851737	0	0	0	0	0	0	1.686084	0	0	1.594823	1.661045	0	0	0	1.679166	0	0	0	0	1.684316	1.806261	0	0	0	0	2.013405	0	0	0	0	0	0	0	0	0	0	0	0	2.689615	0	0	0	1.396768	0	0	0	0	0	0	0	1.96367	0	0	0	1.920055	0	0	0	1.620602	0	0	0	0	0	1.629794
ZFP36L2_cluster3	1.488546	1.034582	1.659506	1.255269	1.12264	1.249208	1.605662	1.609543	1.431953	1.540224	0.759496	1.103127	1.650512	1.385612	1.069486	0.534173	1.96011	1.086057	1.7664	1.319216	1.538116	0.850046	1.429126	1.328089	0.824175	1.43232	1.371393	1.430947	1.035722	1.728329	1.214697	2.992942	1.526689	1.625952	2.575403	1.324319	1.388222	0	1.800736	1.248831	2.008938	0.965903	2.591947	1.849949	1.828524	1.763148	1.87526	0	2.919243	1.474703	0.727162	0.668892	2.302657	1.553715	2.220027	1.777664	1.783379	1.863795	2.156133	1.898802	1.917485	1.819497	1.759997	1.24944	1.256256	0.481578	1.716549	1.473445	1.385211	2.371027	1.81621	1.568458	1.059254	1.10531	2.005984	2.345775	1.774818	1.726662	1.776454	1.786099	0.514775	1.045433	1.282993	1.436269	2.922153	1.812882	1.502215	0.896756	1.320863	1.254635	1.991976	1.760577	2.111253	2.301539	1.388535	1.10742	2.476445	0.947078	1.684257	1.371452	1.838527	0.972686	1.468067	0.566061	1.301415	1.892086	1.418785	1.645643	2.155354	0.714942	0.698263	2.637942	1.295168	0.858407	2.518166	2.637482	0.926121	1.966197	1.129084	1.70087	2.002364	0.869711	1.250552	1.323835	0.780015	0.895691	1.21436	2.43747	1.831035	1.215479	0.543928	0.763692	0	1.948487	2.256863	2.448824	1.933055	1.612889	2.236732	2.769253	0.91648	0.719095	1.889249
PEX13_cluster3	0	0	0	0	0	0	1.277537	1.81108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.396343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.032287	0	0	0	0	0	0	0	1.624457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.746362	0	0	0	0	0	0	2.695049	0	1.325598	0	1.723386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC50_cluster3	1.693824	2.105937	0	0	0	0	0	0	0	0	0	0	0	0	1.721061	0	1.821126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.744365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.734866	0	0	1.765656	0	0	0	0	0	0	0	0	0	1.682682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.708476	0	1.796572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.799717	0	0	0	0
EIF5B_cluster3	0	0.929097	0	1.127284	0	0	1.074765	1.077363	0.909306	0.978059	1.078429	0	0.885801	0	1.518595	0	1.136244	0	0	0	1.029553	0.985514	0	0	0	0	0	1.015923	1.039909	0	0	0	0	0	0.92885	0	0	0	0	1.447854	0	1.583686	0	1.457083	0	0	0.941418	0.920303	0	0.85486	0	0	0	0	0	1.076304	0	0	1.082423	0	1.067928	0	0	1.774111	0	1.367611	0	0	0	1.12223	0	0	1.504064	0.992614	0	0	0.817632	1.810726	0	0	1.461886	0.85704	1.821755	0.912047	0.951902	1.097625	0	0	0.937766	0	0	1.06596	0	0	0.98581	1.111895	0	0	0	0	1.448088	1.381144	0	0	1.508817	0	0.900943	0	0	0.828879	0	1.038865	1.061772	0.770885	0	0	1.073713	0	0	1.029806	0	1.008315	0	1.085274	0	0	0	0	1.108616	1.091549	0	0	0	0	0	0	0.914932	0	0	0	0.920183	0	0
RP11-332H14.2_cluster3	0	0	1.593289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.669494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.524251	0	0	0	0	0	0	0	0	0	1.600512	0	0	0	0	0	0	0	0	1.72134	0	0	1.85869	1.743743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.766423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
