Gene	mono_7822	mono_7824	mono_7825	mono_7828	mono_7830	mono_7832	mono_7833	mono_7835	mono_7837	mono_7843	mono_7845	mono_7846	mono_7848	mono_7855	mono_7856	mono_7857	mono_7863	mono_7864	mono_7866	mono_7870	mono_7871	mono_7877	mono_7879	mono_7881	mono_7886	mono_7887	mono_7888	mono_7889	mono_7890	mono_7891	mono_7896	mono_7897	mono_7900	mono_7904	mono_7909	mono_7912	mono_7913	mono_7914	mono_7917	mono_7918	mono_7919	mono_7922	mono_7924	mono_7925	mono_7930	mono_7932	mono_7934	mono_7937	mono_7938	mono_7945	mono_7820	mono_7851	mono_7872	mono_7875	mono_7882
HIVEP3_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERMAP_cluster1	0	0	0	0	0	0	0	0	2.516174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.693681	0	0	0	0	0	0
EBNA1BP2_cluster1	1.526673	0	0	0	0	0	1.083674	1.137844	0	1.105735	0	0	1.1259	1.097707	0	0	0	1.934771	1.176087	0	0	1.175861	0	0	0	0	0	0	1.146368	1.602651	0	2.035279	1.67149	0	0	0	1.077335	0	1.183541	1.084919	2.529972	0	0	0	1.14574	0	0	0	0	0	0	1.346254	1.185626	0	0
NASP_cluster1	0.861313	1.24027	0	0	0	0	0	0.907846	0	0.882228	0	0	0	0.875824	0	0	0	0.891249	0	0.951212	0	0	0	0	0.928113	0	0.858455	0.902238	0	0	0.777124	0	0	0.867832	0	0	0	0.905314	0.944305	1.224169	1.165427	0	1.148865	0	0.914146	0	0	0	0	0.902157	0.937546	0	0	0.884572	0
SCP2_cluster1	0.245155	0	0.181088	0.171165	0.245595	0.181718	0.246098	0	0.234401	0.251109	0	0.164781	0	0.305311	0	0.263498	0.31803	0.179376	0.188858	0.191445	0	0.188822	0	0.235013	0.186795	0.26941	0	0	0.260337	0.181978	0.156407	0	0	0	0.307544	0	0	0	0.190054	0	0.165857	0	0	0.166955	0.183985	0.174146	0.186778	0	0	0	0.188694	0.216183	0.19039	0	0
SNX7_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.175657	0	0	0	0	0	0	0	0	2.959921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAI3_cluster1	0	0	0	0	1.25106	0	1.772887	0	0	0	0	0	1.841972	0	1.268365	0	0	2.238193	0	1.379163	0	0	0	1.693033	1.345671	0	1.244673	1.308155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.325421	0	0	1.878044	2.21403	1.308037	2.35446	0	1.939686	1.28254	1.356606
ILF2_cluster1	1.103327	0.794382	0	0.770331	0.781568	0	0	0	0.745944	0.799113	1.151134	1.04878	0	0	1.372443	0.838539	0	0.807284	0	0	0	0.849793	1.419687	0	0	0	1.099664	0	1.171648	0.818994	0	0.84922	0	0	1.384103	0	1.348551	0	0	0.784068	0.746444	0.736957	0	0.751383	0	0.783747	0	0	0	0	0.84922	0.687969	0	0.801235	0.847506
ATP8B2_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFNA3_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2D_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.236665	0	0	0	2.242904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1B1_cluster1	0	0	1.667681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMG7_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10991	0	0	0	0	0	2.869554	0	0	1.747707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS2_cluster1	1.571903	0	1.642057	1.552082	1.113499	1.647768	1.115778	0	0	1.610075	0	0	0	1.13023	0	0	0	0	0	0	0	0	0	0	1.693815	0	2.713583	2.016656	0	0	0	0	1.216939	1.583802	0	1.929422	0	1.652205	0	0	1.063457	3.482255	0	0	0	0	2.074295	0	0	0	0	0	2.114408	1.977167	1.207439
RBBP5_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.469229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRGAP2_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD34_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R5A_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.915482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.776567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST3H2A_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARBP1_cluster1	0	0	1.733641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-443B7.1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX20_cluster1	0	0	0	0	0	0	0	0	0	1.291124	0	0	0	0	0	1.354825	0	0	0	0	0	0	1.324315	1.708891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683903	0	0	0	0	0	0	0	0	0	0	0	0	0
PTRHD1_cluster1	0	0	0	0	0	0	0	0	0	0	1.384962	0	0	1.349807	0	0	0	1.373579	1.446188	0	1.017708	1.022409	0	0.899812	0	1.031509	0	0.983243	2.228841	0.985356	0	1.444933	1.779994	1.33749	0	0	0	1.708833	0	1.334076	0	0	0.885306	1.565794	0	1.333529	0	1.996284	1.921562	1.390392	0	1.170568	1.457916	1.66968	0
RAB10_cluster1	0	0	0	0	0	0	0	0	0	1.356742	0	1.780632	0	1.904794	0	1.423682	0	1.938342	0	1.462829	0	0	1.391621	1.795739	1.427305	0	1.320182	0	0	0	1.195107	0	0	0	0	0	1.321893	1.392246	0	0	0	1.769483	0	1.275708	0	1.330654	1.427172	0	0	0	0	0	2.057355	0	0
ZNF512_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOSL2_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.848307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.266804	0	0	0
HEATR5B_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP36L2_cluster1	0	0.520345	0	0.504591	0	0	0.512999	0	0	0	0.533179	0.485772	0.532991	0.519644	0	0	0	0	0	0	0	0.787209	0	0	0.550668	0	0	0	0.54268	0.536466	0.652071	0	0	0.514902	0	0.51216	0.883343	0.537141	0	0	0	0.48273	0.481996	0	0	0	0	0.543428	0	0	0	0.780534	0	0.524834	0
PAPOLG_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX13_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.754129	0	0	0	0	1.87938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGALSL_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC50_cluster1	0	0	0	0	0	1.724135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.576709	0	0	0	0	0	0	2.098673	0	0	0	0	1.648378	0	0	0	1.652976	0	0	0	0	0	0	2.50619	0	0	0	0	0	0	0	0
EIF5B_cluster1	1.451265	0	1.516031	0	1.028042	0	0	1.081638	0.981181	0	0	1.689559	1.513615	0	1.473978	0	0	0	0	0	0	1.117779	0	0	1.915278	1.127728	2.045585	1.074956	1.089743	2.154535	0.925893	0	1.946029	1.033963	0	1.02846	1.024119	0	0	1.45852	1.700594	0.96936	0.967885	1.397716	0	1.45792	0	1.543256	1.48549	0	1.117027	0	1.593907	0	0
RP11-332H14.2_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MERTK_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093818.1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.525621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP7_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.017917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAV_cluster1	0	0	0	2.89033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INPP1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.059041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLS_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.818505	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPD1_cluster1	0.70233	0	0	0.693474	0.70359	0.736227	0	0	0	0.719384	0.732764	0.66761	0.732504	1.00998	0.713323	1.067558	0	0.72674	0	0	0	0	0	0.673275	1.070276	0.771816	0	0	0	1.042674	0	0	0	0	0	0	0	0	0.770003	0	0	0	0	0	0.745411	1.411102	0	1.829399	1.607495	0	0.764492	0.875864	0.771362	0	0
PPIL3_cluster1	0	0	0	0	0	0	0	0	0	0	0	1.26321	0	0	1.349704	1.428331	0	0	0	0	0	1.447501	0	0	0	0	0	0	0	0	1.199012	0	0	1.338962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.446523	0	0	1.364789	1.443607
AC096772.6_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.987317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-105N14.1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FARSB_cluster1	0	0	0	0	0	0	0	1.622658	1.471951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.633919	0	0	0	0	0	0	1.357553	0	0	2.365075
MTERFD2_cluster1	0	0	1.712449	0	0	0	0	1.727854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.801474	0	0	1.740802	0	0	0	0	0	2.374599	0	0	0	0	0	0	0	0	0	0	1.646806	0	0	0	0	0	0	2.54617	0	0
MTMR14_cluster1	0	0	0	1.478313	2.121151	1.569452	0	2.231741	2.479456	0	0	2.846356	1.561518	0	1.520628	2.275768	0	0	1.631122	1.653463	0	0	2.224518	2.870509	0	0	2.584608	0	0	0	2.339741	0	1.639213	1.508526	1.533548	2.122016	1.494159	0	1.641457	2.606177	1.432473	2.000075	0	0	1.589031	1.504061	0	0	1.532504	0	1.629705	2.640513	2.848101	0	2.300102
RAF1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	1.668233	0	0	0	0	0	0	0	0	2.463924	0	0	0	0	1.594205	0	1.698561	0	0	0	0	0	0	0	1.596271	0	0	0	1.530369	0	0	0	0	0	0	0	0	0	0	0	0	2.323134	0
HDAC11_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR1D2_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VILL_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	2.240116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.314195	0	0	0	0	0	0	0	0
ULK4_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.806548	0	0	0	0	0	0	0	0	0	0	2.548698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF445_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCTD6_cluster1	0	0	0	0	0	2.190762	0	3.115238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.100345	0	0	0	0	0	2.099483	0	0	0	0	0	0	0	0	0
ARL13B_cluster1	0	0	2.188794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTRNR2L12_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-475N22.4_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP63_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.405069	1.403417	0	0	0	0	0	0	0	0	0	1.488956	0	0	1.447446	0	0	0	0	2.139512	0	0	0	0	0	0	1.388697	0	1.305255	0	0	0	0	2.105502	0	0	0	0	1.723206	0	0	1.501053
MBNL1-AS1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-38P22.2_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKIL_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FXR1_cluster1	0	1.225843	0	1.681116	0	0	0	0	0	0	0	1.982145	1.255631	0	0	0	0	1.245749	0	0	0	0	0	0	1.297278	1.323019	0	0	1.27846	0	0	0	0	0	1.233142	0	1.699132	0	0	1.711093	0	1.137225	0	1.159487	0	0	0	0	0	0	0	0	0	0	0
YEATS2_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.559441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.652123	0	0
MAP3K13_cluster1	0	0	0	0	0	0	0	0	0	0	0	1.887382	0	0	0	0	1.487115	0	0	0	0	0	0	0	0	0	1.399328	0	0	0	1.266756	0	0	1.414617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF595_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.105664	0
ZNF141_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.382062	0	0	0	0	0	0	0
RP11-539L10.3_cluster1	0	0	0	0	0	0	0	0	0	0	0	2.638492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP46_cluster1	0	0	0	2.083216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.209869	0	0	0	0	0
TBCK_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAPSS1_cluster1	0	1.405169	0	1.362626	0	0	0	0	0	0	0	0	1.439319	0	0	0	0	0	0	1.524067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.960604	0	0	0	0	0	0	0	0	0
MAD2L1_cluster1	0	0	0	0	0	0	1.179725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLRG1_cluster1	1.418711	0	0	0	0	0	0	0	1.356473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.421837	0	0	0	1.425802	1.357384	0	0	0	0	0	0	0	0	0	0	0	0	2.060536	0
CDH9_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKP2_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PELO_cluster1	0	0	0	0	0	0	0	0	0	0	0	2.083783	0	2.229087	0	2.356168	0	0	0	2.420961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.304142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE4D_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GFM2_cluster1	0	0	0	0	0	0	0	0	2.093189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIN1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FNIP1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAIP2_cluster1	0.157611	0	0	0	0	0	0.158217	0	0	0	0	0	0	0.160266	0	0	0.166942	0	0	0	0	0.242787	0	0	0	0	0.222155	0	0	0	0.142205	0	0	0	0	0.157958	0.222443	0	0	0.158399	0.21326	0.210549	0	0.262917	0	0	0	0	0	0	0	0.196554	0	0	0.242133
CNOT6_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP22_cluster1	0	0	0	0	0	0	0	0	0	0	1.75807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.765118	1.789399	0	0	0	1.844893	0	0	0	1.681636	0	0	0	0	0	0	0	0	0	0	0	0	0	1.834192	2.971831	0	0	0
NQO2_cluster1	0	0	1.469207	1.388704	0	1.474317	1.411846	1.482424	0	0	0	1.890677	0	0	0	2.137819	1.489711	2.058135	0	0	0	1.531953	0	0	0	0	0	0	2.112172	1.476432	1.268968	0	0	0	0	0	1.403588	1.478286	2.180656	0	0	0	0	1.354548	0	0	0	0	0	0	0	0	0	0	0
F13A1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAK1IP1_cluster1	0	0	2.196898	0	0	0	0	0	0	0	0	0	0	0	0	0	2.227559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.557594	1.618694	0	0	0	0
