regulator	target	weight	cell
MEF2D	RP11-156E8.1	0.8	cluster7
MITF	RP11-382D12.2	0.8	cluster7
POLR1B	RP11-568N6.1	0.9	cluster7
PER2	RP11-69E11.4	0.8	cluster7
MEF2D	RP11-96K19.2	0.8	cluster7
KLF7	RP3-465N24.6	0.8	cluster7
MITF	S100PBP	0.8	cluster7
EYA3	SEPN1	1	cluster7
KLF7	TM2D1	0.9	cluster7
MITF	ZNF620	0.8	cluster7
